"","Sponsor.Name","Site.Name","AgrNbr","SiteNbr","Program.Type","County","Street.Address","Addr2","City","State","Zip.Code","Opr.Oct","Opr.Nov","Opr.Dec","Opr.Jan","Opr.Feb","Opr.Mar","Opr.Apr","Opr.May","Opr.Jun","Opr.Jul","Opr.Aug","Opr.Sep","Breakfast","Brk.Mon","Brk.Tue","Brk.Wed","Brk.Thu","Brk.Fri","Brk.Sat","Brk.Sun","AM.Snack","Ams.Mon","Ams.Tue","Ams.Wed","Ams.Thu","Ams.Fri","Ams.Sat","Ams.Sun","Lunch","Lun.Mon","Lun.Tue","Lun.Wed","Lun.Thu","Lun.Fri","Lun.Sat","Lun.Sun","PM.Snack","Pms.Mon","Pms.Tue","Pms.Wed","Pms.Thu","Pms.Fri","Pms.Sat","Pms.Sun","Supper","Sup.Mon","Sup.Tue","Sup.Wed","Sup.Thu","Sup.Fri","Sup.Sat","Sup.Sun","Evening.Snack","Eve.Mon","Eve.Tue","Eve.Wed","Eve.Thu","Eve.Fri","Eve.Sat","Eve.Sun","Qualifying.Area.School","QAS.SiteNbr","QAS..F.RP"
"1","Beaverton SD 48J","Barnes Elem","3402002",11203,"After School At Risk Meals and Snacks Center","Washington County","13730 SW Walker Rd","","Beaverton","OR","97005",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Barnes Elem",11203,"69.9%"
"247","Portland SD","Beach Elem","2616011",11008,"After School At Risk Meals and Snacks Center","Multnomah County","1710 N Humboldt St","","Portland","OR","97217",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Beach Elem",11008,"58.3%"
"11","Bend/LaPine SD","Bear Creek Elementary","0902001",10036,"After School At Risk Meals and Snacks Center","Deschutes County","51 SE 13th Street","","Bend","OR","97701",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Bear Creek Elementary",10036,"70.7%"
"2","Beaverton SD 48J","Beaver Acres Elem","3402002",11204,"After School At Risk Meals and Snacks Center","Washington County","2125 SW 170th Ave.","","Beaverton","OR","97006",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Beaver Acres Elem",11204,"59.8%"
"12","Bend/LaPine SD","Bend High School","0902001",10027,"After School At Risk Meals and Snacks Center","Deschutes County","230 NE 6th Street","","Bend","OR","97701",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Bear Creek Elementary",10036,"70.7%"
"31","Boys & Girls Club of Lebanon","BGCL Teen Center","2202002",14954,"After School At Risk Meals and Snacks Center","Linn County","626 S. 2nd St.","","Lebanon","OR","97355",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Green Acres Elem",10767,"83.2%"
"34","Boys & Girls Club of Portland Metropolitan Area","Blazers Boys & Girls Club","2602004",12971,"After School At Risk Meals and Snacks Center","Multnomah County","5250 NE MLK Jr. Blvd","","Portland","OR","97211",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"King Elem",11034,"88.1%"
"238","Peninsula Children's Center","Boise Eliot School Age","2616005",11745,"After School At Risk Meals and Snacks Center","Multnomah County","620 N Fremont","","Portland","OR","97227",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Boise/Eliot Elem",11009,"82.3%"
"239","Peninsula Children's Center","Boise Eliot School Age","2616005",11745,"Outside School Hours Center","Multnomah County","620 N Fremont","","Portland","OR","97227",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,""
"248","Portland SD","Boise/Eliot Elem","2616011",11009,"After School At Risk Meals and Snacks Center","Multnomah County","620 N Fremont St","","Portland","OR","97227",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Boise/Eliot Elem",11009,"82.3%"
"77","Corvallis SD 509J","Boys & Girls Club","0203003",12325,"After School At Risk Meals and Snacks Center","Benton County","1112 NE Circle Blvd","","Corvallis","OR","97330",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Garfield Elem",10178,"73.0%"
"13","Bend/LaPine SD","Boys & Girls Club - Ariel","0902001",13981,"After School At Risk Meals and Snacks Center","Deschutes County","1707 SE Tempest","","Bend","OR","97702",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Bear Creek Elementary",10036,"70.7%"
"14","Bend/LaPine SD","Boys & Girls Club - Bend","0902001",13982,"After School At Risk Meals and Snacks Center","Deschutes County","500 NW Wall St","","Bend","OR","97701",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Second Chance",12278,"55.5%"
"30","Boys & Girls Club of Albany","Boys & Girls Club of Albany","2202001",13040,"After School At Risk Meals and Snacks Center","Linn County","1215 Hill St SE","","Albany","OR","97322",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Sunrise Elem",10752,"76.6%"
"42","Boys & Girls Club of the Western Treasure Valley","Boys & Girls Club of Western Treasure Valley","2302001",14433,"After School At Risk Meals and Snacks Center","Malheur County","573 SW 3rd Ave","","Ontario","OR","97914",1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Ontario Middle",10802,"76.0%"
"212","North Bend SD 13","Boys & Girls Club-SWOYA","0614001",12673,"After School At Risk Meals and Snacks Center","Coos County","1333 Walnut","","Coos Bay","OR","97420",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Hillcrest Elem",10377,"58.3%"
"32","Boys & Girls Club of Lebanon","Boys and Girls Club of Sweet Home","2202002",14617,"After School At Risk Meals and Snacks Center","Linn County","890 18th Ave","","Sweet Home","OR","97386",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"SH High School Dist #55",10782,"59.4%"
"399","Vermont Hills Family Life Center","Bridger","2622001",14673,"After School At Risk Meals and Snacks Center","Multnomah County","7910 SE Market","","Portland","OR","97215",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bridger Elem",11010,"64.3%"
"249","Portland SD","Bridger Elem","2616011",11010,"After School At Risk Meals and Snacks Center","Multnomah County","7910 SE Market St","","Portland","OR","97215",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Bridger Elem",11010,"64.3%"
"310","Salem-Keizer SD - At Risk","Brush College Elem","2419020",15482,"After School At Risk Meals and Snacks Center","Polk County","2623 Doaks Ferry Rd. NW","","Salem","OR","97304",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Brush College Elem",10853,"54.7%"
"15","Bend/LaPine SD","Buckingham Elementary","0902001",10037,"After School At Risk Meals and Snacks Center","Deschutes County","62560 Hamby Road","","Bend","OR","97701",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Buckingham Elementary",10037,"51.3%"
"311","Salem-Keizer SD - At Risk","Bush Elementary AR Site","2419020",13893,"After School At Risk Meals and Snacks Center","Marion County","410 14th St SE","","Salem","OR","97301",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Bush Elem",10854,"80.4%"
"127","Greater Albany SD 8J","Calapooia Middle","2207001",10741,"After School At Risk Meals and Snacks Center","Linn County","830 24th Ave SE","","Albany","OR","97322",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Calapooia Middle",10741,"59.9%"
"312","Salem-Keizer SD - At Risk","Candalaria Elem","2419020",15484,"After School At Risk Meals and Snacks Center","Marion County","935 Hansen Ave. S.","","Salem","OR","97302",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Leslie Middle",10844,"66.8%"
"313","Salem-Keizer SD - At Risk","Capital Park","2419020",14281,"After School At Risk Meals and Snacks Center","Marion County","410 19th St.","","Salem","OR","97301",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Richmond Elem",10880,"70.7%"
"64","Chehalem Park and Recreation","CARE Program","3603003",13917,"Outside School Hours Center","Yamhill County","502 E. Second Street","","Newberg","OR","97132",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,""
"147","Hood River SD","Cascade Locks School","1408001",10111,"After School At Risk Meals and Snacks Center","Hood River County","300 Wanapa ST","","Cascade Locks","OR","97014",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Cascade Locks School",10111,"80.3%"
"26","Bethel SD At-Risk","Cascade Middle","2002006",13504,"After School At Risk Meals and Snacks Center","Lane County","1525 Echo Hollow","","Eugene","OR","97402",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Cascade Middle",10581,"79.5%"
"164","Lebanon Community SD 9","Cascades School","2212001",10764,"After School At Risk Meals and Snacks Center","Linn County","2163 South 7th Street","","Lebanon","OR","97355",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cascades School",10764,"75.1%"
"81","Crook Co SD","Cecil Sly Elementary","0703001",10060,"After School At Risk Meals and Snacks Center","Crook County","1400 SE Second","","Prineville","OR","97754",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Cecil Sly Elementary",10060,"65.4%"
"3","Beaverton SD 48J","Cedar Park Middle","3402002",11195,"After School At Risk Meals and Snacks Center","Washington County","11100 SW Park Way","","Portland","OR","97225",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"William Walker Elem",11230,"82.9%"
"373","Springfield SD 19","Centennial Elem","2019007",10701,"After School At Risk Meals and Snacks Center","Lane County","1315 Aspen Street","","Springfield","OR","97477",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Centennial Elem",10701,"71.2%"
"55","Central Douglas County Family YMCA","Central Douglas County Family YMCA Child Care","1003002",11739,"After School At Risk Meals and Snacks Center","Douglas County","1151 Stewart Parkway","","Roseburg","OR","97471",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Fullerton IV Elem",10434,"69.9%"
"128","Greater Albany SD 8J","Central Elem","2207001",10744,"After School At Risk Meals and Snacks Center","Linn County","336 9th Ave W","","Albany","OR","97321",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Central Elem",10744,"54.4%"
"57","Central SD 13J","Central High","2703001",11089,"After School At Risk Meals and Snacks Center","Polk County","11530 Monmouth St.","","Independence","OR","97351",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Talmadge  Middle",11090,"62.9%"
"183","Medford SD 549","Central Medford High","1513001",14407,"After School At Risk Meals and Snacks Center","Jackson County","815 S. Oakdale Ave.","","Medford","OR","97501",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Central Medford High",14407,"65.4%"
"197","Milton-Freewater SD 7","Central Middle","3013001",11129,"After School At Risk Meals and Snacks Center","Umatilla County","306 SW 2nt","","Milton Freewater","OR","97862",0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Central Middle",11129,"75.6%"
"250","Portland SD","Cesar Chavez","2616011",10995,"After School At Risk Meals and Snacks Center","Multnomah County","5103 N Willis Blvd.","","Portland","OR","97203",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Cesar Chavez",10995,"88.4%"
"314","Salem-Keizer SD - At Risk","Cesar Chavez Elementary At-Risk","2419020",15171,"After School At Risk Meals and Snacks Center","Marion County","2400 Walker Rd. NE","","Salem","OR","97305",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Chavez Elementary",15153,"53.0%"
"65","City of Portland - Parks & Recreation","Charles Jordan Community Center","2616026",14821,"After School At Risk Meals and Snacks Center","Multnomah County","9009 N Foss Ave.","","Portland","OR","97203",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Rosa Parks Elem",13804,"94.5%"
"115","Eugene SD 4J","Chavez","2005005",13502,"After School At Risk Meals and Snacks Center","Lane County","1510 W 14th Ave","","Eugene","OR","97402",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Chavez",13502,"77.1%"
"37","Boys & Girls Club of Salem","Chemeketa Connect Center","2402002",15056,"After School At Risk Meals and Snacks Center","Marion County","4200 Lancaster Drive NE","bldg 62","Salem","OR","97301",0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"McKay High",10837,"84.9%"
"251","Portland SD","Chief Joseph/Ockley Green","2616011",10994,"After School At Risk Meals and Snacks Center","Multnomah County","6031 N Montana Ave","","Portland","OR","97217",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Chief Joseph/Ockley Green",10994,"53.4%"
"315","Salem-Keizer SD - At Risk","Claggett Creek Middle AR Site","2419020",13885,"After School At Risk Meals and Snacks Center","Marion County","1810 Alder Dr NE","","Salem","OR","97303",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Claggett Creek Secondary",12791,"75.1%"
"396","Umatilla SD 6","Clara Brownell Middle","3021002",11148,"After School At Risk Meals and Snacks Center","Umatilla County","1300 7th St","","Umatilla","OR","97882",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Clara Brownell Middle",11148,"88.8%"
"136","Gresham-Barlow SD 10J","Clear Creek Middle","2607003",10949,"After School At Risk Meals and Snacks Center","Multnomah County","219 NE 219th Ave","","Gresham","OR","97030",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Clear Creek Middle",10949,"80.9%"
"316","Salem-Keizer SD - At Risk","Clear Lake Elementary","2419020",15059,"After School At Risk Meals and Snacks Center","Marion County","7425 Meadowglen St. N.","","Keizer","OR","97303",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"McNary High",10836,"54.0%"
"129","Greater Albany SD 8J","Clover Ridge Elem","2207001",10745,"After School At Risk Meals and Snacks Center","Linn County","2953 Clover Ridge Road","","Albany","OR","97321",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"South Albany High",10739,"51.3%"
"116","Eugene SD 4J","Colin Kelly Middle","2005005",10606,"After School At Risk Meals and Snacks Center","Lane County","850 Howard Ave","","Eugene","OR","97404",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Colin Kelly Middle",10606,"63.1%"
