Colton School District 53,OR,,4103270,"4,491",5.23,18.08,7.93,41.0,92.56,0.00,0.42,1.43,0.00,3.92,90.2,17.2,1.79,"61,429","67,303",7.6,"345,100"
Condon School District 25J,OR,,4103330,870,1.49,11.03,32.07,52.7,96.21,0.57,0.69,0.00,0.00,1.84,90.2,18.5,0.00,"39,861","56,719",9.5,"98,200"
Coquille School District 8,OR,,4103390,"7,281",4.48,14.19,22.35,47.8,94.95,0.00,1.03,0.00,0.00,1.50,85.8,10.7,0.00,"40,015","47,550",7.9,"162,400"
Corbett School District 39,OR,,4103420,"5,071",4.89,18.91,11.52,40.8,92.72,0.77,0.61,2.33,0.41,6.05,94.2,30.8,2.05,"69,660","72,039",11.8,"338,500"
Corvallis School District 509J,OR,,4103480,"61,509",4.54,12.78,10.70,26.6,86.08,1.36,0.99,5.99,0.26,6.62,94.3,52.1,3.94,"39,879","68,649",23.8,"253,800"
Cove School District 15,OR,,4103540,"1,393",6.25,20.53,17.73,45.6,95.19,0.00,0.65,1.51,0.22,3.59,88.3,28.0,0.92,"44,620","48,611",9.5,"196,300"
Harney County School District 4,OR,,4103600,655,7.48,22.14,12.52,45.0,94.66,0.00,1.22,0.00,0.00,1.22,90.5,16.8,1.32,"40,795","41,591",4.7,"122,900"
Harney County Union High School District 1J,OR,,4103630,"1,316",9.12,18.31,14.21,40.9,94.30,0.00,1.29,0.00,0.00,2.51,91.1,15.8,0.84,"40,117","41,786",12.8,"176,300"
Coos Bay School District 9,OR,,4103660,"26,973",5.64,14.89,19.43,42.9,90.86,0.62,3.88,0.90,0.00,6.31,85.0,17.9,2.21,"37,220","45,182",16.9,"181,900"
Creswell School District 40,OR,,4103690,"9,076",7.02,16.68,12.10,41.8,94.00,0.00,0.71,1.78,0.22,2.77,85.0,17.3,1.30,"51,699","58,550",12.1,"230,500"
Crook County School District,OR,,4103720,"22,483",5.09,18.39,16.46,42.0,95.09,0.11,1.25,0.29,0.00,7.29,85.4,15.8,3.02,"45,987","52,872",13.6,"216,700"
Crow-Applegate-Lorane Sd 66,OR,,4103780,"2,480",3.19,22.34,11.90,43.3,99.11,0.00,0.00,0.00,0.00,0.00,88.4,19.4,0.71,"58,371","69,167",11.6,"295,700"
Culver School District 4,OR,,4103840,"3,353",8.86,20.58,16.22,36.2,89.05,0.00,3.64,0.00,0.00,12.35,85.0,8.6,3.24,"37,116","40,820",15.6,"188,700"
Dallas School District 2,OR,,4103860,"21,538",5.62,19.95,15.30,40.4,90.30,0.18,1.25,1.02,0.00,5.64,91.5,21.3,2.12,"50,876","57,990",10.5,"203,300"
David Douglas School District 40,OR,,4103940,"56,440",8.47,17.95,13.35,35.3,73.12,6.05,2.08,9.35,0.60,13.31,80.5,16.4,18.72,"42,314","46,202",18.3,"213,700"
Days Creek School District 15,OR,,4103960,"1,132",4.42,12.63,23.14,52.4,92.49,1.33,0.44,1.33,0.00,1.24,87.2,19.4,0.00,"38,854","48,304",7.4,"201,100"
Dayton School District 8,OR,,4103990,"5,266",6.49,22.69,11.03,36.4,74.38,1.08,0.55,0.19,0.00,30.35,81.9,15.1,11.66,"52,540","55,942",10.6,"202,800"
Dayville School District 16J,OR,,4104020,404,9.90,20.54,24.26,44.5,95.30,0.25,1.49,0.00,0.00,1.49,87.0,14.6,0.00,"31,458","37,841",9.9,"129,700"
Diamond School District 7,OR,,4104170,135,11.11,16.30,37.04,54.4,97.78,0.00,0.00,0.00,0.00,0.00,100.0,27.8,0.00,"40,938","40,625",9.6,"164,600"
Double O School District 28,OR,,4104290,9,0.00,0.00,44.44,50.8,100.00,0.00,0.00,0.00,0.00,0.00,100.0,22.2,0.00,"18,125",0,44.4,"212,500"
North Douglas School District 22,OR,,4104350,"2,596",6.39,17.91,19.11,45.2,95.03,0.00,0.73,0.35,0.00,2.35,82.0,11.4,0.53,"43,690","47,813",15.9,"183,500"
Drewsey School District 13,OR,,4104380,71,0.00,0.00,39.44,62.1,92.96,0.00,7.04,0.00,0.00,0.00,85.7,15.7,0.00,"33,750","63,125",9.9,"275,000"
Dufur School District 29,OR,,4104410,"1,627",2.95,20.59,15.61,44.3,90.17,0.49,8.42,0.00,0.00,1.91,89.8,22.1,0.51,"45,625","59,531",13.9,"210,800"
Eagle Point School District 9,OR,,4104500,"25,926",5.98,17.94,12.82,41.2,91.32,0.65,1.24,0.46,0.21,13.30,83.6,13.2,4.07,"45,430","50,635",16.8,"243,500"
Echo School District 5,OR,,4104530,"1,073",6.43,30.66,9.69,33.5,94.69,1.58,0.65,0.00,0.00,6.24,80.4,15.2,1.10,"52,760","48,750",13.8,"115,400"
Elgin School District 23,OR,,4104590,"2,422",6.81,13.91,20.81,47.1,92.28,0.00,0.33,3.39,0.00,0.41,90.3,12.9,4.08,"34,514","41,531",10.2,"136,500"
Elkton School District 34,OR,,4104620,"1,339",4.41,14.26,31.74,54.1,91.93,0.00,2.09,1.79,0.00,0.67,89.4,21.8,0.23,"53,250","59,375",11.9,"242,300"
Estacada School District 108,OR,,4104700,"13,580",4.29,19.11,11.77,40.1,91.87,1.23,0.78,0.88,0.19,6.88,86.2,13.0,2.88,"53,876","61,102",11.2,"285,400"
Eugene School District 4J,OR,,4104740,"146,888",4.31,12.98,12.78,35.5,87.07,1.64,0.81,5.06,0.15,5.51,92.7,40.7,3.56,"41,141","60,522",20.3,"245,200"
Fern Ridge School District 28J,OR,,4104950,"11,561",5.12,17.48,12.99,43.1,93.67,0.61,1.64,0.29,0.33,4.19,92.9,16.8,0.93,"53,733","55,567",10.1,"231,900"
South Harney School District 33,OR,,4105020,253,16.21,11.46,5.93,35.0,93.28,0.00,0.00,0.00,0.00,3.95,87.2,8.1,0.00,"32,250","32,250",36.4,"227,000"
Enterprise School District 21,OR,,4105080,"2,902",5.20,15.23,25.64,50.4,96.04,0.00,0.55,0.69,0.00,2.72,92.1,25.1,2.69,"35,828","48,463",9.5,"162,400"
Siuslaw School District 97J,OR,,4105100,"14,288",2.15,9.81,35.60,58.1,96.23,0.23,0.68,0.22,0.36,3.55,89.5,22.1,0.88,"36,388","45,025",10.6,"236,200"
Forest Grove School District 15,OR,,4105160,"33,138",9.04,18.87,11.20,32.0,81.28,0.24,4.18,1.52,0.19,28.14,77.0,18.6,13.94,"48,664","55,397",16.8,"221,600"
Fossil School District 21J,OR,,4105250,618,0.00,9.71,27.83,54.6,96.12,0.00,1.13,0.00,0.00,0.00,88.3,27.5,0.00,"35,568","47,917",17.3,"89,400"
Frenchglen School District 16,OR,,4105310,97,2.06,34.02,7.22,38.1,90.72,0.00,0.00,0.00,0.00,9.28,98.3,20.0,2.11,"61,250","61,250",0.0,"156,300"
Gaston School District 511J,OR,,4105430,"2,973",6.36,17.42,10.53,39.6,92.26,0.00,1.41,0.61,0.00,6.79,88.9,20.4,3.70,"67,813","74,069",11.6,"283,500"
Gladstone School District 115,OR,,4105610,"10,727",3.91,16.07,14.26,40.1,88.16,1.99,1.03,3.59,0.00,7.48,92.3,19.2,4.51,"49,108","63,729",13.1,"246,800"
Glendale School District 77,OR,,4105640,"2,799",4.07,18.94,17.72,44.0,89.57,0.00,4.61,0.00,0.00,5.97,88.8,11.8,0.00,"41,477","44,286",14.8,"191,200"
Glide School District 12,OR,,4105670,"5,046",3.19,16.86,20.85,50.3,97.15,0.00,0.83,0.16,0.00,3.39,91.4,21.2,0.25,"48,951","52,588",15.8,"259,000"
Central Curry School District 1,OR,,4105760,"4,868",5.32,12.82,26.71,51.2,95.99,0.00,1.34,0.35,0.00,0.78,91.7,17.3,1.17,"44,453","52,070",12.4,"255,900"
Grants Pass School District 7,OR,,4105910,"35,248",6.79,17.53,18.28,40.5,92.56,0.23,2.28,0.82,0.12,7.56,86.2,15.7,1.98,"36,839","47,841",16.8,"240,900"
Gresham-Barlow School District 1J,OR,,4106000,"73,297",6.94,18.82,11.45,35.8,87.85,1.15,1.84,2.61,0.04,13.14,88.4,20.7,7.86,"53,072","64,665",10.8,"256,100"
Harper School District 66,OR,,4106120,297,8.08,21.55,13.80,38.7,93.27,0.00,0.67,2.69,0.00,4.04,89.1,9.5,2.56,"32,361","47,500",26.3,"235,400"
Helix School District 1,OR,,4106270,531,11.30,28.81,7.53,24.6,92.84,0.00,0.00,0.94,0.00,1.13,93.1,35.9,1.27,"62,143","67,500",13.9,"183,900"
Hermiston School District 8,OR,,4106300,"25,386",8.43,19.57,9.78,34.2,86.95,0.83,1.41,1.38,0.02,25.88,79.8,14.0,10.56,"45,599","52,108",15.8,"137,200"
Hood River County School District 1,OR,,4106510,"21,316",7.50,19.55,12.23,37.1,86.64,0.41,2.42,1.81,0.26,26.50,83.3,27.2,15.23,"49,795","56,359",11.2,"295,900"
Huntington School District 16J,OR,,4106600,590,1.69,16.10,30.51,52.3,99.15,0.00,0.00,0.00,0.00,0.00,83.3,0.9,0.00,"21,034","31,250",32.4,"77,800"
Imbler School District 11,OR,,4106630,"1,418",3.39,16.64,15.66,44.7,97.39,0.49,0.21,0.14,0.00,0.49,96.6,27.1,1.53,"56,779","61,944",6.7,"232,100"
Jefferson School District 14J,OR,,4106710,"6,262",6.90,19.16,13.05,40.2,90.83,0.00,3.35,0.50,0.00,9.76,85.3,20.5,6.21,"51,688","59,896",10.7,"210,400"
Jefferson County School District 509J,OR,,4106740,"14,982",8.68,20.18,8.79,33.1,66.29,0.53,23.23,0.29,0.49,24.63,76.2,15.6,11.23,"39,504","44,836",19.2,"156,000"
Jewell School District 8,OR,,4106750,"1,004",4.68,14.74,17.93,46.8,97.71,0.40,0.40,0.00,0.00,2.39,85.9,12.1,1.25,"46,726","53,026",12.9,"200,400"
John Day School District 3,OR,,4106780,"4,370",5.03,14.97,20.39,48.2,95.72,0.00,1.92,0.00,0.05,3.36,88.5,18.5,0.82,"34,942","45,197",16.0,"117,000"
Jordan Valley School District 3,OR,,4106820,521,7.49,27.64,15.93,35.9,99.62,0.00,0.00,0.38,0.00,0.96,88.4,12.2,0.41,"31,528","36,250",26.3,"101,700"
Joseph School District 6,OR,,4106870,"1,994",2.96,10.83,25.48,52.9,94.23,0.00,0.00,0.00,2.51,0.85,94.5,22.6,1.19,"42,312","54,773",9.0,"183,000"
Three Rivers School District,OR,,4106900,"46,601",3.86,14.66,22.70,49.9,94.71,0.35,0.84,0.60,0.10,3.91,85.8,16.6,0.97,"38,211","46,007",17.6,"264,900"
Junction City School District 69,OR,,4106930,"12,776",6.21,17.91,13.20,40.2,94.72,0.56,0.88,0.82,0.00,5.76,87.5,16.3,2.68,"51,217","57,470",8.3,"233,100"
Juntura School District 12,OR,,4106960,97,0.00,28.87,14.43,46.5,87.63,12.37,0.00,0.00,0.00,0.00,87.0,15.9,0.00,"41,786","65,000",4.1,"92,500"
Klamath County School District,OR,,4107020,"25,105",5.51,16.66,18.66,46.4,89.27,0.40,4.39,0.45,0.19,7.70,86.8,17.3,2.47,"46,143","53,654",15.3,"176,600"
Klamath Falls City Schools,OR,,4107080,"19,797",6.50,16.52,11.00,36.1,86.74,0.70,4.06,1.36,0.04,11.19,84.4,24.0,2.88,"31,824","42,415",22.0,"151,400"
La Grande School District 1,OR,,4107200,"16,538",5.87,16.82,14.83,36.8,92.97,0.19,0.89,0.92,1.38,4.15,89.1,21.3,2.43,"38,909","55,910",17.3,"141,100"
Lake Oswego School District 7J,OR,,4107230,"40,900",4.33,19.41,13.63,42.4,90.31,1.42,0.10,5.76,0.04,3.21,97.9,64.5,2.73,"80,103","102,373",5.5,"511,900"
Lakeview School District 7,OR,,4107280,"5,031",4.07,15.76,19.46,46.5,91.29,0.83,2.17,0.66,0.38,9.56,82.2,16.4,3.11,"40,697","44,737",14.5,"117,500"
Lebanon Community School District 9,OR,,4107380,"28,376",6.21,17.40,17.81,40.9,93.10,0.18,1.13,0.64,0.02,4.02,87.3,15.8,1.47,"45,088","52,928",14.2,"168,000"
Lincoln County School District,OR,,4107500,"46,083",4.96,13.80,19.45,47.9,89.98,0.30,3.61,1.22,0.23,7.20,90.0,23.2,4.11,"38,175","52,592",17.3,"233,700"
Long Creek School District 17,OR,,4107530,482,2.28,16.60,25.52,51.2,90.87,0.00,4.77,0.83,0.00,0.00,85.6,14.6,0.00,"35,000","43,333",13.6,"140,600"
Lowell School District 71,OR,,4107590,"2,250",7.33,15.20,6.71,40.5,92.36,0.31,1.02,1.78,0.00,2.71,89.8,16.9,0.67,"46,442","50,380",15.4,"219,100"
Mapleton School District 32,OR,,4107710,"1,502",3.33,12.98,19.17,48.8,91.41,0.00,2.00,2.20,0.00,2.00,87.6,12.4,0.96,"36,333","47,500",23.2,"192,600"
Marcola School District 79J,OR,,4107740,"2,130",3.80,20.23,14.46,45.9,90.52,0.42,1.36,2.68,0.00,3.19,88.7,17.8,0.29,"49,031","53,958",9.7,"245,900"
McDermitt School District 51,OR,,4107880,57,7.02,15.79,15.79,50.3,96.49,0.00,3.51,0.00,0.00,0.00,95.5,18.2,0.00,"46,875","49,375",35.1,"162,500"
McKenzie School District 68,OR,,4107980,"2,183",2.61,11.96,25.10,50.3,93.95,0.00,3.11,0.32,0.32,2.34,91.4,27.2,1.32,"43,615","58,009",10.8,"315,000"
McMinnville School District 40,OR,,4108010,"38,233",7.42,17.59,15.02,35.2,85.56,0.69,1.06,1.18,0.33,16.37,84.2,22.1,8.11,"44,913","56,494",16.9,"215,800"
Medford School District 549,OR,,4108040,"82,295",6.41,17.99,15.25,39.4,92.49,0.52,0.88,1.63,0.26,9.92,88.7,23.7,3.34,"45,443","56,219",14.0,"271,700"
Santiam Canyon School District 129J,OR,,4108100,"3,891",8.28,16.24,18.17,44.9,91.60,0.00,3.44,0.15,0.75,4.99,79.4,14.4,1.20,"37,210","48,229",20.7,"163,400"
Milton-Freewater School District 7,OR,,4108160,"11,219",7.29,20.00,15.27,38.3,89.39,0.50,2.01,0.21,0.00,24.15,77.1,11.0,10.12,"39,529","45,215",18.4,"133,900"
Mitchell School District 55,OR,,4108280,330,2.12,18.18,31.52,55.4,93.64,0.00,5.15,0.00,0.00,3.94,86.5,6.3,0.00,"28,542","34,643",13.0,"91,300"
Molalla River School District 35,OR,,4108310,"17,713",7.88,19.29,12.38,38.3,93.41,0.87,0.49,0.61,0.00,7.36,86.4,15.6,3.98,"55,471","65,013",7.0,"262,300"
Monroe School District 1J,OR,,4108430,"3,078",6.99,15.66,11.18,44.5,91.03,0.00,2.18,1.56,0.00,6.73,89.2,28.0,1.89,"56,125","64,228",9.4,"230,100"
Monument School District 8,OR,,4108460,421,3.09,25.65,16.39,44.3,94.30,0.00,1.19,0.71,0.00,8.79,88.0,14.0,5.88,"34,107","35,833",6.3,"166,700"
Morrow School District 1,OR,,4108520,"10,736",7.33,21.98,11.43,35.7,88.44,0.06,2.52,0.42,0.00,31.64,76.2,10.8,14.90,"43,472","48,453",17.7,"104,800"
Mount Angel School District 91,OR,,4108550,"4,138",12.16,15.78,15.10,32.6,79.63,0.14,3.84,1.86,0.51,32.62,78.7,24.2,19.01,"43,443","55,203",15.0,"234,800"
Neah-Kah-Nie School District 56,OR,,4108650,"7,004",3.73,9.44,29.10,55.6,94.09,0.34,1.88,1.19,0.00,1.64,88.1,23.0,0.39,"37,574","47,521",12.9,"229,800"
Nestucca Valley School District 101J,OR,,4108700,"4,345",4.00,15.56,19.31,49.0,96.29,0.00,1.96,0.00,0.00,1.31,93.5,21.0,0.41,"37,789","53,563",17.2,"219,700"
Newberg School District 29J,OR,,4108720,"33,790",6.65,18.18,10.98,35.3,87.54,0.18,1.75,1.07,0.00,10.68,89.8,29.5,6.01,"60,157","69,387",9.8,"251,500"
North Bend School District 13,OR,,4108820,"16,107",5.57,14.86,20.20,46.0,90.72,0.10,2.05,0.83,0.32,4.63,87.3,18.9,0.58,"38,815","48,960",19.0,"195,000"
North Clackamas School District 12,OR,,4108830,"113,718",6.03,18.51,12.53,37.5,87.08,1.50,0.67,4.77,0.09,8.69,89.5,25.5,6.81,"54,993","66,675",11.9,"279,500"
North Marion School District 15,OR,,4108880,"8,701",5.87,20.93,11.83,39.4,82.11,0.54,2.87,0.10,0.00,22.18,81.7,18.6,10.42,"58,322","61,498",9.6,"229,600"
North Powder School District 8J,OR,,4108940,654,5.20,24.62,13.00,43.8,88.84,2.14,0.31,0.46,0.00,5.66,89.6,21.8,2.26,"43,750","56,250",10.0,"131,300"
Nyssa School District 26,OR,,4109000,"4,541",8.17,21.45,12.93,34.5,71.04,0.53,1.04,1.32,0.00,41.77,66.1,7.0,13.74,"39,906","46,324",14.7,"120,500"
Oakland School District 1,OR,,4109120,"3,289",3.80,28.00,14.65,38.4,95.90,0.00,0.55,0.15,0.00,0.36,88.2,11.0,0.16,"42,392","46,434",16.5,"213,200"
Oakridge School District 76,OR,,4109150,"4,307",7.50,18.90,20.55,47.5,89.85,0.81,2.58,0.00,1.42,3.71,80.5,13.9,1.05,"35,203","43,175",22.7,"148,800"
Ontario School District 8,OR,,4109270,"18,517",6.48,17.63,14.25,35.8,73.93,1.98,1.23,1.24,0.28,31.32,78.9,12.9,10.00,"38,213","47,775",19.4,"125,300"
Oregon City School District 62,OR,,4109330,"54,882",6.45,16.91,11.58,38.4,92.58,0.50,0.32,1.92,0.24,6.53,91.2,23.6,3.35,"60,282","70,249",10.3,"291,900"
Paisley School District 11,OR,,4109430,628,5.10,17.99,29.62,49.4,95.06,1.43,3.50,0.00,0.00,2.39,84.2,10.7,0.00,"34,861","41,094",21.5,"79,800"
Parkrose School District 3,OR,,4109480,"27,205",7.45,16.60,9.94,35.4,69.47,12.40,1.03,8.87,0.20,10.35,86.4,20.4,13.90,"48,735","56,049",13.6,"230,300"
Pendleton School District 16,OR,,4109510,"21,726",5.33,17.61,15.09,39.0,85.89,1.10,4.61,0.93,0.23,6.59,85.1,20.3,1.54,"49,107","59,457",12.3,"147,200"
Perrydale School District 21,OR,,4109530,"1,270",5.83,19.06,11.18,41.9,96.61,0.00,0.31,0.00,0.00,4.02,88.9,15.9,1.00,"48,264","59,107",14.3,"312,900"
Philomath School District 17J,OR,,4109600,"8,464",6.84,18.83,11.32,40.7,91.93,0.14,1.58,1.45,0.09,5.74,93.1,38.8,2.65,"57,973","66,814",7.9,"227,800"
Phoenix-Talent School District 4,OR,,4109630,"23,681",4.50,12.92,25.35,46.9,92.79,0.58,0.37,0.92,0.00,9.89,88.5,24.6,3.79,"40,285","51,856",12.7,"239,300"
Pilot Rock School District 2,OR,,4109660,"2,117",6.38,20.26,18.42,39.8,91.78,0.00,2.69,0.09,0.00,1.32,90.8,12.5,0.00,"48,151","50,082",12.5,"112,900"
Pine Creek School District 5,OR,,4109690,68,14.71,8.82,0.00,19.9,100.00,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0.00,"26,667","26,667",16.2,"1,000,000"
Pine-Eagle School District 61,OR,,4109720,"1,688",3.50,13.51,32.23,55.6,94.31,0.41,1.07,0.00,0.00,0.89,86.9,13.8,0.31,"28,411","33,500",15.1,"143,800"
Pinehurst School District 94,OR,,4109750,223,7.17,17.49,7.62,41.9,96.41,0.00,1.35,0.00,0.00,0.00,96.9,29.4,0.00,"55,417","55,833",7.6,"380,000"
Pleasant Hill School District 1,OR,,4109870,"6,625",3.71,21.01,13.75,44.7,97.54,0.21,0.00,0.29,0.00,1.12,92.1,20.5,1.22,"53,509","71,910",8.4,"285,900"
