Col Index,Sponsor.Name,Site.Name,site alias,School ID,AgrNbr,SiteNbr,Program.Type,County,Street.Address,Addr2,City,State,Zip.Code,Opr.Oct,Opr.Nov,Opr.Dec,Opr.Jan,Opr.Feb,Opr.Mar,Opr.Apr,Opr.May,Opr.Jun,Opr.Jul,Opr.Aug,Opr.Sep,Breakfast,Brk.Mon,Brk.Tue,Brk.Wed,Brk.Thu,Brk.Fri,Brk.Sat,Brk.Sun,AM.Snack,Ams.Mon,Ams.Tue,Ams.Wed,Ams.Thu,Ams.Fri,Ams.Sat,Ams.Sun,Lunch,Lun.Mon,Lun.Tue,Lun.Wed,Lun.Thu,Lun.Fri,Lun.Sat,Lun.Sun,PM.Snack,Pms.Mon,Pms.Tue,Pms.Wed,Pms.Thu,Pms.Fri,Pms.Sat,Pms.Sun,Supper,Sup.Mon,Sup.Tue,Sup.Wed,Sup.Thu,Sup.Fri,Sup.Sat,Sup.Sun,Evening.Snack,Eve.Mon,Eve.Tue,Eve.Wed,Eve.Thu,Eve.Fri,Eve.Sat,Eve.Sun,Qualifying.Area.School,QAS.SiteNbr,QAS..F.RP
11,Bend/LaPine SD,Bear Creek Elementary,,241,902001,10036,After School At Risk Meals and Snacks Center,Deschutes County,51 SE 13th Street,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Bear Creek Elementary,10036,70.70%
12,Bend/LaPine SD,Bend High School,,No match,902001,10027,After School At Risk Meals and Snacks Center,Deschutes County,230 NE 6th Street,,Bend,OR,97701,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Bear Creek Elementary,10036,70.70%
13,Bend/LaPine SD,Boys & Girls Club - Ariel,,No match,902001,13981,After School At Risk Meals and Snacks Center,Deschutes County,1707 SE Tempest,,Bend,OR,97702,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Bear Creek Elementary,10036,70.70%
14,Bend/LaPine SD,Boys & Girls Club - Bend,,No match,902001,13982,After School At Risk Meals and Snacks Center,Deschutes County,500 NW Wall St,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Second Chance,12278,55.50%
15,Bend/LaPine SD,Buckingham Elementary,,250,902001,10037,After School At Risk Meals and Snacks Center,Deschutes County,62560 Hamby Road,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Buckingham Elementary,10037,51.30%
16,Bend/LaPine SD,Elk Meadow Elementary,Elk Meadow Elementary,1308,902001,10038,After School At Risk Meals and Snacks Center,Deschutes County,60880 Brookswood Blvd,,Bend,OR,97702,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Elk Meadow Elementary,10038,49.40%
17,Bend/LaPine SD,Ensworth Elementary,Ensworth Elementary,4129,902001,13454,After School At Risk Meals and Snacks Center,Deschutes County,2150 NE Daggett Lane,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Ensworth Elementary,13454,70.10%
18,Bend/LaPine SD,Jewell Elementary,Jewell Elementary,247,902001,12318,After School At Risk Meals and Snacks Center,Deschutes County,20550 Murphy Road,,Bend,OR,97702,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Jewell Elementary,12318,49.00%
19,Bend/LaPine SD,Juniper Elementary,Juniper Elementary,246,902001,10039,After School At Risk Meals and Snacks Center,Deschutes County,1300 NE Norton,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Juniper Elementary,10039,64.80%
20,Bend/LaPine SD,LaPine Event Center,LaPine Event Center,No match,902001,15186,After School At Risk Meals and Snacks Center,Deschutes County,16405 - 1st Street,,La Pine,OR,97739,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,LaPine High School,10028,61.50%
21,Bend/LaPine SD,Lava Ridge Elementary,Lava Ridge Elementary,1317,902001,10043,After School At Risk Meals and Snacks Center,Deschutes County,20805 cooley road,,Bend,OR,97702,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lava Ridge Elementary,10043,47.30%
22,Bend/LaPine SD,Marshall High School,Marshall High School,1338,902001,10029,After School At Risk Meals and Snacks Center,Deschutes County,1291 NE 5th Street,,Bend,OR,97701,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Marshall High School,10029,73.80%
23,Bend/LaPine SD,Pilot Butte Middle School,Pilot Butte Middle School,249,902001,10034,After School At Risk Meals and Snacks Center,Deschutes County,1501 NE Neff Road,,Bend,OR,97701,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Pilot Butte Middle School,10034,68.70%
24,Bend/LaPine SD,Pine Ridge Elem,Pine Ridge Elementary School,3947,902001,13175,After School At Risk Meals and Snacks Center,Deschutes County,19840 Hollygrape Street,,Bend,OR,97702,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Pine Ridge Elem,13175,46.30%
25,Bend/LaPine SD,Westside Village School,Westside Village School,3221,902001,10041,After School At Risk Meals and Snacks Center,Deschutes County,1101 NW 12th Street,,Bend,OR,97701,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Westside Village School,10041,52.10%
26,Bethel SD At-Risk,Cascade Middle,Cascade Middle School,581,2002006,13504,After School At Risk Meals and Snacks Center,Lane County,1525 Echo Hollow,,Eugene,OR,97402,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Cascade Middle,10581,79.50%
27,Bethel SD At-Risk,Fairfield Elementary,Fairfield Elementary,584,2002006,15367,After School At Risk Meals and Snacks Center,Lane County,3455 Royal Ave,,Eugene,OR,97402,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Fairfield Elem,10585,88.20%
28,Bethel SD At-Risk,Kalapuya High School,Kalapuya High School,3566,2002006,15349,After School At Risk Meals and Snacks Center,Lane County,1200 N. Terry Street,,Eugene,OR,97402,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Kalapuya High School,12985,74.30%
29,Bethel SD At-Risk,Prairie Mountain School,Prairie Mountain School,3567,2002006,15350,After School At Risk Meals and Snacks Center,Lane County,3505 Royal Ave,,Eugene,OR,97402,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Prairie Mountain School,12984,63.50%
30,Boys & Girls Club of Albany,Boys & Girls Club of Albany,,No match,2202001,13040,After School At Risk Meals and Snacks Center,Linn County,1215 Hill St SE,,Albany,OR,97322,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Sunrise Elem,10752,76.60%
31,Boys & Girls Club of Lebanon,BGCL Teen Center,,No match,2202002,14954,After School At Risk Meals and Snacks Center,Linn County,626 S. 2nd St.,,Lebanon,OR,97355,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Green Acres Elem,10767,83.20%
32,Boys & Girls Club of Lebanon,Boys and Girls Club of Sweet Home,,No match,2202002,14617,After School At Risk Meals and Snacks Center,Linn County,890 18th Ave,,Sweet Home,OR,97386,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,SH High School Dist #55,10782,59.40%
33,Boys & Girls Club of Lebanon,Lebanon Site,Lebanon Site,No match,2202002,14853,After School At Risk Meals and Snacks Center,Linn County,305 S. 5th St.,,Lebanon,OR,97355,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Green Acres Elem,10767,83.20%
34,Boys & Girls Club of Portland Metropolitan Area,Blazers Boys & Girls Club,,No match,2602004,12971,After School At Risk Meals and Snacks Center,Multnomah County,5250 NE MLK Jr. Blvd,,Portland,OR,97211,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,King Elem,11034,88.10%
35,Boys & Girls Club of Portland Metropolitan Area,Inukai Boys & Girls Club,Inukai Boys & Girls Club,No match,2602004,13872,After School At Risk Meals and Snacks Center,Washington County,560 SE 3rd,,Hillsboro,OR,97123,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,W V McKinney Elem,11267,78.80%
36,Boys & Girls Club of Portland Metropolitan Area,Wattles Site,Wattles Site,No match,2602004,13289,After School At Risk Meals and Snacks Center,Multnomah County,9330 SE Harold,,Portland,OR,97266,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lent Elem,11037,82.60%
37,Boys & Girls Club of Salem,Chemeketa Connect Center,Chemeketa Connect Center,No match,2402002,15056,After School At Risk Meals and Snacks Center,Marion County,4200 Lancaster Drive NE,bldg 62,Salem,OR,97301,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,McKay High,10837,84.90%
38,Boys & Girls Club of Salem,Eastwood,Eastwood,No match,2402002,13072,After School At Risk Meals and Snacks Center,Marion County,1120 Savage Rd,,Salem,OR,97301,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Hoover Elem,10868,82.50%
39,Boys & Girls Club of Salem,Keizer Branch,Keizer Branch,No match,2402002,13074,After School At Risk Meals and Snacks Center,Marion County,4840 Noren St,,Keizer,OR,97303,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Kennedy Elem,10870,70.90%
40,Boys & Girls Club of Salem,Knudson,Knudson,No match,2402002,13073,After School At Risk Meals and Snacks Center,Marion County,1395 Summer St NE,,Salem,OR,97301,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Grant Community School,10863,75.20%
41,Boys & Girls Club of Salem,Swegle,Swegle,762,2402002,13071,After School At Risk Meals and Snacks Center,Marion County,4445 Market St,,Salem,OR,97301,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Swegle Elem,10886,80.70%
42,Boys & Girls Club of the Western Treasure Valley,Boys & Girls Club of Western Treasure Valley,,No match,2302001,14433,After School At Risk Meals and Snacks Center,Malheur County,573 SW 3rd Ave,,Ontario,OR,97914,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Ontario Middle,10802,76.00%
43,Boys & Girls Clubs of Emerald Valley,Westmoreland Site,Westmoreland Site,No match,2002004,13033,After School At Risk Meals and Snacks Center,Lane County,1545 W 22nd,,Eugene,OR,97405,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Adams Elem,10614,36.10%
44,Boys & Girls Clubs of the Umpqua Valley,Roseburg Club Location,Roseburg Club Location,No match,1002001,12982,After School At Risk Meals and Snacks Center,Douglas County,1144 NE Cedar,,Roseburg,OR,97470,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Fir Grove Elem,10433,85.90%
45,Boys and Girls Clubs of the Rogue Valley,Grants Pass Boys and Girls Club,Grants Pass Boys and Girls Club,No match,1702001,13306,After School At Risk Meals and Snacks Center,Josephine County,203 SE 9th,,Grants Pass,OR,97526,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Riverside Elementary,10095,82.10%
46,Boys and Girls Clubs of the Rogue Valley,IV Boys and Girls Club,IV Boys and Girls Club,No match,1702001,13929,After School At Risk Meals and Snacks Center,Josephine County,520 W River St,,Cave Junction,OR,97523,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,Evergreen Elem,10538,83.20%
47,Boys and Girls Clubs of the Rogue Valley,Talent Elementary,Talent Elementary,372,1702001,14271,After School At Risk Meals and Snacks Center,Jackson County,Talent Elementry,209 West Main Street,Talent,OR,97540,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Talent Elem,10517,64.70%
48,Building Healthy Families,Joseph School,Joseph School,No match,3202001,15024,After School At Risk Meals and Snacks Center,Wallowa County,400 E Williams,P.O Box 787,Joseph,OR,97846,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Joseph Middle,11173,51.30%
49,Building Healthy Families,Wallowa School,Wallowa School,1089,3202001,14030,After School At Risk Meals and Snacks Center,Wallowa County,315 First Street,,Wallowa,OR,97885,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Wallowa Elementary,14190,61.50%
50,Centennial SD 28J,Harold Oliver Elem,Harold Oliver Elementary School,962,2603006,10929,After School At Risk Meals and Snacks Center,Multnomah County,15840 SE Taylor,,Portland,OR,97233,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Harold Oliver Elem,10929,87.20%
51,Centennial SD 28J,Lynch Meadows Elem,Lynch Meadows Elementary School,959,2603006,10925,After School At Risk Meals and Snacks Center,Multnomah County,18009 SE Brooklyn,,portland,OR,97236,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Lynch Meadows Elem,10925,81.80%
52,Centennial SD 28J,Lynch View Elem,Lynch View Elementary School,964,2603006,10926,After School At Risk Meals and Snacks Center,Multnomah County,1546 se 169 pl,,portland,OR,97233,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Lynch View Elem,10926,85.40%
53,Centennial SD 28J,Lynch Wood Elem,Lynch Wood Elementary School,965,2603006,10927,After School At Risk Meals and Snacks Center,Multnomah County,3615 SE 174th,,Portland,OR,97236,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Lynch Wood Elem,10927,81.70%
54,Centennial SD 28J,Parklane Elem,Parklane Elementary School,963,2603006,10930,After School At Risk Meals and Snacks Center,Multnomah County,15811 SE Main,,Portland,OR,97233,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Parklane Elem,10930,85.90%
55,Central Douglas County Family YMCA,Central Douglas County Family YMCA Child Care,Central Douglas County Family YMCA Child Care,No match,1003002,11739,After School At Risk Meals and Snacks Center,Douglas County,1151 Stewart Parkway,,Roseburg,OR,97471,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Fullerton IV Elem,10434,69.90%
56,Central SD 13J,Ash Creek,,3464,2703001,12999,After School At Risk Meals and Snacks Center,Polk County,1360 16th St.,,Monmouth,OR,97361,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Ash Creek,12999,64.40%
57,Central SD 13J,Central High,Central High School,1002,2703001,11089,After School At Risk Meals and Snacks Center,Polk County,11530 Monmouth St.,,Independence,OR,97351,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Talmadge  Middle,11090,62.90%
